年度,分析項目,整體吸菸者完訪樣本數(人),整體吸菸者平均吸菸支數之平均值(支),整體吸菸者平均吸菸支數之標準差(支),男性吸菸者完訪樣本數(人),男性吸菸者平均吸菸支數之平均值(支),男性吸菸者平均吸菸支數之標準差(支),女性吸菸者完訪樣本數(人),女性吸菸者平均吸菸支數之平均值(支),女性吸菸者平均吸菸支數之標準差(支)
民國104年,現住地縣市別=澎湖縣,111,15.8143317,14.9517478,107,16.1169709,15.0410057,4,8.44052201,8.34376294
民國104年,現住地縣市別=基隆市,133,19.3641681,16.8014817,113,20.0972023,17.1312923,20,15.7257664,14.1186941
民國104年,現住地縣市別=新竹市,78,13.9853659,14.8980997,67,14.2397311,15.6777122,11,12.3626413,8.98941707
民國104年,現住地縣市別=原台中市,92,17.3624793,18.3269113,80,18.7940841,17.6464585,12,6.96509673,17.410057
民國104年,現住地縣市別=嘉義市,83,17.2909272,16.8357799,73,17.986187,17.4655278,10,11.2585991,9.14613918
民國104年,現住地縣市別=原台南巿,83,17.8933894,15.7843966,68,19.2844013,15.8548058,15,14.1013739,14.2481977
民國104年,現住地縣市別=金門縣,77,17.0762407,12.8206217,70,17.3405538,13.2866687,7,12.7391814,6.06896605
民國104年,現住地縣市別=連江縣,25,14.7400615,11.3110039,24,14.6300484,11.5052408,1,20,-
民國104年,現住地縣市別=台北市,83,17.3676317,19.9064448,66,18.9269571,20.7638246,17,12.0134683,13.8889099
民國104年,現住地縣市別=原高雄市,71,14.0055329,17.6311525,62,14.4648035,18.4715474,9,10.4150803,9.27044634
民國104年,現住地縣市別=台中市,196,16.4346428,14.5789456,174,17.2485306,14.2824256,22,7.45102111,12.5503076
民國104年,現住地縣市別=台南市,179,19.7650965,17.4560564,155,20.3285436,18.144088,24,15.9060938,11.1362114
民國104年,現住地縣市別=高雄市,187,14.2256268,15.1781617,164,14.6185409,15.7457588,23,12.0884524,9.96602973
民國105年,整體,2500,17.2863099,14.2837203,2269,18.2652037,13.9880033,231,10.5346484,13.0982433
民國105年,教育程度別1=小學及以下,318,18.6974974,16.6336947,287,18.9236724,16.8411914,31,16.2184661,14.4108391
民國105年,教育程度別1=初中、國中,452,18.8289163,19.9021515,404,19.9149554,19.3941201,48,11.2302761,18.1634519
民國105年,教育程度別1=高中、高職,935,15.993413,13.8078734,830,17.4321487,13.4771599,105,8.61239884,10.7389142
民國105年,教育程度別1=專科,334,16.281062,10.9372059,313,16.6541841,10.9241153,21,12.105226,10.0582358
民國105年,教育程度別1=大學,387,12.2064092,5.32847259,363,12.5077049,5.23767445,24,9.23288237,6.27021575
民國105年,教育程度別1=研究所及以上,70,10.3437725,6.25131044,68,10.3811815,6.3384094,2,0.65397312,0.10326933
民國105年,教育程度別2=國中或以下,770,18.7875638,18.6108682,691,19.5930591,18.3796095,79,12.4018512,17.0816332
民國105年,教育程度別2=高中職,935,15.993413,13.8078734,830,17.4321487,13.4771599,105,8.61239884,10.7389142
民國105年,教育程度別2=大專或以上,791,15.051729,8.37881946,744,15.3952777,8.34728982,47,11.243417,8.08576578
民國105年,現住地縣市別=新北市,111,16.0419489,14.8874525,98,17.3831692,14.5204013,13,8.48990365,11.9037958
民國105年,現住地縣市別=宜蘭縣,95,19.6391726,16.6498581,82,20.8732036,17.1103599,13,11.128405,7.13140992
民國105年,現住地縣市別=桃園縣,95,15.5238578,14.0971891,83,17.0813128,14.1726873,12,6.91036457,7.10391186
民國105年,現住地縣市別=新竹縣,117,16.5454073,13.7392935,104,17.6129637,13.8112873,13,9.21523609,8.34372972
民國105年,現住地縣市別=苗栗縣,111,18.2232256,10.4661897,101,18.9265987,10.4806714,10,10.8495541,3.14765939
民國105年,現住地縣市別=原台中縣,103,16.1275872,13.4333207,97,16.0675492,13.5500571,6,17.358215,12.4021966
民國105年,現住地縣市別=彰化縣,109,18.4263551,11.4413545,98,20.0158016,10.7142258,11,10.0418756,8.50972981
民國105年,現住地縣市別=南投縣,126,18.7172612,16.933727,114,19.2866076,17.2432369,12,13.3402371,11.6645287
民國105年,現住地縣市別=雲林縣,139,18.7362751,15.0796579,133,18.1956963,14.8169983,6,28.2675531,16.0803114
民國105年,現住地縣市別=嘉義縣,110,15.2391908,11.7466958,107,15.3675704,11.794371,3,2.51392782,3.43364949
民國105年,現住地縣市別=原台南縣,105,19.0257062,17.0166749,99,18.4681143,17.1720341,6,25.0403735,11.633383
民國105年,現住地縣市別=原高雄縣,85,17.9914191,15.167727,78,17.5626386,14.8318229,7,21.3987498,19.0255915
民國105年,現住地縣市別=屏東縣,87,19.896096,15.2256012,76,22.0101597,14.8701773,11,10.0542543,7.59148102
民國105年,現住地縣市別=台東縣,115,19.5887683,15.7804817,97,21.8872413,15.5364633,18,9.23459894,8.98013062
民國105年,現住地縣市別=花蓮縣,112,19.0290927,16.4750093,99,19.3038108,17.1791341,13,16.0644795,9.44304194
民國105年,現住地縣市別=澎湖縣,108,17.6878491,14.8699859,102,18.698604,14.6108463,6,6.43602078,9.998074
民國105年,現住地縣市別=基隆市,136,19.4604657,10.8554354,122,19.9405818,10.6946092,14,14.3608447,10.9312182
民國105年,現住地縣市別=新竹市,82,15.515986,21.3647727,74,17.2243236,21.4979504,8,8.34253946,8.05336633
民國105年,現住地縣市別=原台中市,78,17.9596037,18.288957,70,18.3243132,19.0540279,8,14.6014233,8.8098346
民國105年,現住地縣市別=嘉義市,87,19.8421582,24.1052207,79,20.9744175,24.6684088,8,11.1418162,11.5242189
民國105年,現住地縣市別=原台南巿,94,18.2379202,10.8210557,85,18.1805167,11.0678902,9,18.873926,8.62220414
民國105年,現住地縣市別=金門縣,96,18.101929,17.0931126,91,18.5051511,17.400988,5,10.6681797,4.03541641
民國105年,現住地縣市別=連江縣,38,14.6166221,9.46740311,35,15.1486022,8.76357249,3,10.155492,17.238006
民國105年,現住地縣市別=台北市,82,17.8198176,11.657142,74,20.213487,9.02803016,8,7.34359747,14.5714242
民國105年,現住地縣市別=原高雄市,79,13.8942492,13.8494035,71,15.9802999,13.1073027,8,3.28473813,6.20722736
民國105年,現住地縣市別=台中市,181,17.0802355,15.4722594,167,17.160155,15.8162393,14,16.0595482,10.8887224
民國105年,現住地縣市別=台南市,199,18.5829524,15.090539,184,18.1612853,15.3113526,15,23.0309829,10.6302959
民國105年,現住地縣市別=高雄市,164,16.0221554,14.4231456,149,16.9707702,13.5552696,15,10.4821944,19.5278302
